status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,name,last.consume.date,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
... < 0 DM,14,existing credits paid back duly till now,car (new),3973,... < 100 DM,unemployed,1,male : single,none,4,unknown / no property,22,none,d30874,2018/7/29,for free,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),888,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",41,bank,c51808,2018/8/18,own,1,unskilled - resident,2,none,yes,1
no checking account,48,existing credits paid back duly till now,radio/television,10222,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",37,stores,U67700,2018/12/18,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,30,no credits taken/ all credits paid back duly,business,4221,... < 100 DM,1 <= ... < 4 years,2,male : single,none,1,"car or other, not in attribute Savings account/bonds",28,none,q77349,2018/3/10,own,2,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,6361,... < 100 DM,... >= 7 years,2,male : single,none,1,unknown / no property,41,none,m76407,2018/1/22,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1297,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,real estate,23,none,B21275,2018/6/20,rent,1,skilled employee / official,1,none,yes,0
... < 0 DM,12,existing credits paid back duly till now,car (new),900,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",23,none,p71360,2018/3/30,own,1,skilled employee / official,1,none,yes,1
no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,... < 100 DM,... >= 7 years,4,male : single,none,2,real estate,50,none,j58745,2018/7/7,own,2,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,6,delay in paying off in the past,furniture/equipment,1050,... < 100 DM,unemployed,4,male : single,none,1,building society savings agreement/ life insurance,35,stores,y25789,2018/12/8,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),education,1047,... < 100 DM,1 <= ... < 4 years,2,male : single,none,4,building society savings agreement/ life insurance,50,none,U56994,2018/11/12,own,1,unskilled - resident,1,none,yes,0
no checking account,24,critical account/ other credits existing (not at this bank),others,6314,... < 100 DM,unemployed,4,male : single,co-applicant,2,unknown / no property,27,bank,X89888,2018/7/25,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3496,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",34,stores,o75913,2018/3/4,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,0
no checking account,48,all credits at this bank paid back duly,business,3609,... < 100 DM,1 <= ... < 4 years,1,male : single,none,1,real estate,27,stores,T78914,2018/1/6,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),4843,... < 100 DM,... >= 7 years,3,male : single,co-applicant,4,building society savings agreement/ life insurance,43,none,t10918,2018/1/18,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
... >= 200 DM / salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),radio/television,3017,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,47,none,B75505,2018/1/5,own,1,skilled employee / official,1,none,yes,0
no checking account,24,critical account/ other credits existing (not at this bank),business,4139,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,3,building society savings agreement/ life insurance,27,none,v11992,2018/8/27,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,0
no checking account,36,existing credits paid back duly till now,business,5742,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",31,none,A10573,2018/11/6,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,60,existing credits paid back duly till now,car (new),10366,... < 100 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,42,none,f25710,2018/4/9,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,6,critical account/ other credits existing (not at this bank),car (new),2080,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : single,none,2,"car or other, not in attribute Savings account/bonds",24,none,U90520,2018/1/20,own,1,skilled employee / official,1,none,yes,0
no checking account,21,delay in paying off in the past,business,2580,500 <= ... < 1000 DM,... < 1 year,4,male : single,none,2,real estate,41,bank,j79303,2018/11/28,own,1,unskilled - resident,2,none,yes,1
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,4530,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",26,none,c36931,2018/11/30,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,5150,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",33,none,K66883,2018/4/9,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,72,existing credits paid back duly till now,radio/television,5595,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",24,none,j37223,2018/2/10,own,1,skilled employee / official,1,none,yes,1
... < 0 DM,24,existing credits paid back duly till now,radio/television,2384,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,64,bank,X30835,2018/11/9,rent,1,unskilled - resident,1,none,yes,0
no checking account,18,existing credits paid back duly till now,radio/television,1453,... < 100 DM,... < 1 year,3,male : single,none,1,real estate,26,none,I14491,2018/5/13,own,1,skilled employee / official,1,none,yes,0
no checking account,6,existing credits paid back duly till now,education,1538,... < 100 DM,... < 1 year,1,male : single,none,2,unknown / no property,56,none,v15060,2018/12/1,own,1,skilled employee / official,1,none,yes,0
no checking account,12,existing credits paid back duly till now,radio/television,2279,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,37,none,k69231,2018/5/18,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,15,delay in paying off in the past,radio/television,1478,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,33,bank,s97519,2018/9/1,own,2,skilled employee / official,1,none,yes,0
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,5103,... < 100 DM,... < 1 year,3,male : single,none,3,unknown / no property,47,none,E24443,2018/6/16,for free,3,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,36,delay in paying off in the past,business,9857,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : single,none,3,building society savings agreement/ life insurance,31,none,y83090,2018/6/27,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,0
no checking account,60,existing credits paid back duly till now,car (new),6527,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,34,none,k14640,2018/12/3,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),radio/television,1347,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,2,building society savings agreement/ life insurance,27,none,P27027,2018/10/27,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),2862,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,3,unknown / no property,30,none,l63346,2018/6/14,for free,1,skilled employee / official,1,none,yes,0
no checking account,9,existing credits paid back duly till now,radio/television,2753,100 <= ... < 500 DM,... >= 7 years,3,male : single,co-applicant,4,"car or other, not in attribute Savings account/bonds",35,none,U54624,2018/6/22,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,12,existing credits paid back duly till now,car (new),3651,... >= 1000 DM,1 <= ... < 4 years,1,male : single,none,3,building society savings agreement/ life insurance,31,none,A31717,2018/5/17,own,1,skilled employee / official,2,none,yes,0
... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,975,... < 100 DM,1 <= ... < 4 years,2,male : single,none,3,building society savings agreement/ life insurance,25,none,u32009,2018/5/10,own,2,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,2631,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,25,none,e96002,2018/11/23,own,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,2896,100 <= ... < 500 DM,... < 1 year,2,male : single,none,1,"car or other, not in attribute Savings account/bonds",29,none,e80278,2018/8/11,own,1,skilled employee / official,1,none,yes,0
... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),4716,unknown/ no savings account,... < 1 year,1,male : single,none,3,real estate,44,none,R72376,2018/11/18,own,2,unskilled - resident,2,none,yes,0
no checking account,24,existing credits paid back duly till now,radio/television,2284,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",28,none,O33397,2018/7/12,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,6,existing credits paid back duly till now,car (used),1236,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,4,building society savings agreement/ life insurance,50,none,d51183,2018/11/15,rent,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1103,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,3,real estate,29,none,m12721,2018/8/11,own,2,skilled employee / official,1,none,no,0
no checking account,12,critical account/ other credits existing (not at this bank),car (new),926,... < 100 DM,unemployed,1,male : single,none,2,building society savings agreement/ life insurance,38,none,F64086,2018/12/20,own,1,unemployed/ unskilled - non-resident,1,none,yes,0
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1800,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",24,none,S97089,2018/2/24,own,2,skilled employee / official,1,none,yes,0
... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,education,1905,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",40,none,T63351,2018/3/24,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,12,existing credits paid back duly till now,furniture/equipment,1123,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",29,none,v71517,2018/4/28,rent,1,unskilled - resident,1,none,yes,1
... < 0 DM,48,critical account/ other credits existing (not at this bank),car (used),6331,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,46,none,P23072,2018/6/27,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,1377,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,2,unknown / no property,47,none,f25454,2018/1/19,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
